date,code,name,llm_score,traditional_score,second_stage_llm
2025-12-19,516050,科技龙头ETF,0.008438,0.008437762,gemini-2.5-flash-lite
2025-12-19,518850,黄金ETF华夏,0.006307,0.006306782,gemini-2.5-flash-lite
2025-12-19,512010,医药ETF,0.004771,0.0047712144,gemini-2.5-flash-lite
2025-12-19,159928,消费ETF,0.003369,0.0033687812,gemini-2.5-flash-lite
2025-12-19,159687,亚太精选ETF,0.001669,0.0016690943,gemini-2.5-flash-lite
2025-12-19,510180,上证180ETF,0.001157,0.001156797,gemini-2.5-flash-lite
2025-12-19,560500,500质量成长ETF,0.000922,0.00092207623,gemini-2.5-flash-lite
2025-12-19,159910,基本面120ETE,0.000733,0.0007326937,gemini-2.5-flash-lite
2025-12-19,515170,食品饮料ETF,3.7e-05,3.6978832e-05,gemini-2.5-flash-lite
2025-12-19,159307,红利低波100ETF,-0.000292,-0.000291878,gemini-2.5-flash-lite
