code,name,llm_score,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,y_pred_Y_next_day_return,y_pred_Y_future_5d_return,y_pred_Y_future_10d_return,y_pred_Y_future_5d_vol_change,y_pred_Y_future_10d_vol_change
515790,光伏ETF,0.95,1.067,1.155,1.16,1.067,17799552,2013211824.0,8.79,9.17,0.097,17.37,0.1981327800829875,0.0233518426651715,6647882.6,0.9325,2.772,6.487,1.0774,1.0595,0.064628555762488,0.0106680861414716,0.0224726742477087,0.8102251022052036,0.5694256576629069
516160,新能源ETF,0.92,3.033,3.164,3.165,3.033,1659392,518771309.0,4.38,4.94,0.149,7.56,0.1082311733800351,0.0150831038212436,1049913.1,0.5259999999999998,2.3625,4.7855,3.05,3.0347,0.0044925423670842,0.1143209005157045,0.0564774333527224,0.6596075883531646,0.7576694406056294
512580,环保ETF,0.89,1.318,1.37,1.37,1.318,229212,31034349.0,3.95,4.1,0.054,2.37,0.0745098039215688,0.0123821067120031,114166.05,0.3675000000000002,2.0245,1.182,1.3314,1.3268,0.0053158183456694,0.062232914319006,0.0253628494259433,0.1019909347553816,0.246339047401551
512100,中证1000ETF,0.86,3.343,3.402,3.411,3.33,34122752,11508716134.0,2.43,2.16,0.072,41.48,0.1324900133155793,0.012004145210508,13107220.15,0.631,1.858,15.931,3.3236000000000003,3.3182,0.0013666914809734,0.0011323980004281,-0.0066473605480051,0.4546725310054955,0.5347244381593866
510500,中证500ETF,0.83,8.505,8.719,8.725,8.493,6693456,5772176393.0,2.74,2.95,0.25,6.8,0.1769708423326133,0.0116253340064766,8390810.15,0.8240000000000001,1.812,8.530000000000001,8.4584,8.3765,0.0008233085177831,-0.0004196854274777,-0.0025094795617952,0.5415774846368269,0.6808506639859451
588030,科创100指数ETF,0.8,1.572,1.624,1.626,1.572,2141866,343784202.0,3.44,3.31,0.052,4.15,0.1994091580502215,0.0167013641485919,2671608.4,0.927,2.5055,5.179,1.581,1.5728,0.0025697371667596,-0.0007765398721329,-0.0093857318373342,0.3043295386238699,0.1011229482371671
159995,芯片ETF,0.77,2.026,2.043,2.055,2.004,5704809,1157948262.152,2.49,-0.1,-0.002,4.01,0.1680960548885077,0.0197572766734676,5481650.55,0.7985000000000001,2.8865000000000003,3.8515,2.0178000000000003,1.9707,-0.000193476926696,-4.686127519551515e-06,-0.0138196250065324,0.2337666723068255,0.1160342592374783
518850,黄金ETF华夏,0.74,10.666,10.706,10.719,10.651,921967,985647186.0,0.65,2.8,0.292,5.52,0.1024611265575119,0.0132445528864984,737914.75,0.4975000000000001,0.906,4.421,10.3628,10.1382,0.0002554635690044,0.002805503991013,0.0036013327029471,0.1754919154002404,0.0090447533779398
560500,500质量成长ETF,0.71,1.329,1.352,1.354,1.329,51929,6991247.0,1.89,1.96,0.026,1.45,0.1276063386155128,0.0098947288313949,39362.9,0.6064999999999999,2.103,1.0950000000000002,1.3246000000000002,1.3035,-0.0005709087112311,-0.000180842815744,0.0007323766585491,0.1922385225077591,0.1115117768267811
512260,中证500低波动ETF,0.68,2.036,2.065,2.065,2.034,8352,1716505.0,1.53,2.03,0.041,3.2,0.1241154055525313,0.0084810321379868,5680.5,0.591,1.295,2.1770000000000005,2.0204,1.9917,-8.554717057736826e-05,-0.0016901996014342,-0.0093949755360012,-0.003769733166191,0.2711133365304011
159939,信息技术ETF,0.65,0.991,0.994,0.995,0.98,218719,21634796.698,1.51,0.2,0.002,1.78,0.1244343891402715,0.0164704410711958,393145.5,0.6004999999999999,2.3400000000000003,3.208,0.9842,0.9764,-0.0007380388681863,-0.0020017918701391,-0.0055774973486978,0.0738631733038707,-0.032064550261238
