rebalance_date,strategy_a_codes,strategy_b_codes,strategy_a_return,strategy_b_return,strategy_a_count,strategy_b_count,llm_ranking_used,llm_fallback_used,explanation_requested,explanation_generated
2025-08-01,"['520500', '159687', '515980', '515790', '159509', '518850', '563020', '159307', '588000', '159715']","['159715', '515050', '513060', '520500', '560080', '515790', '159509', '513730', '515980', '588000']",0.016994504090588346,0.00661971575206273,10,10,True,False,False,False
2025-08-08,"['520500', '159715', '513060', '159687', '518850', '515790', '562060', '563020', '159307', '563000']","['520500', '159715', '513060', '159687', '518850', '515790', '562060', '563020', '159307', '563000']",0.02633836787905115,0.02633836787905115,10,10,True,False,False,False
2025-08-15,"['515790', '159852', '515010', '159967', '520500', '513060', '159871', '512580', '518850', '159966']","['515010', '159967', '515790', '588030', '159852', '159715', '159682', '512480', '516160', '512100']",0.03053588410794834,0.06124684378078353,10,10,True,False,True,True
2025-08-22,"['515580', '513310', '159807', '159852', '516050', '159781', '159939', '515400', '515750', '513060']","['159807', '159781', '159939', '516050', '159852', '515580', '513310', '515400', '588030', '515750']",0.05284205173257241,0.059152193889000323,10,10,True,False,False,False
2025-08-29,"['515700', '513310', '513330', '159901', '518850', '513050', '159871', '515790', '513970', '159967']","['515700', '159967', '159915', '516160', '513310', '159901', '513060', '159871', '512690', '159807']",0.020223987327528056,0.02005934958039727,10,10,True,False,False,False
2025-09-05,"['159966', '159903', '562310', '512580', '512980', '512010', '159901', '159837', '512290', '516080']","['515700', '512580', '562310', '159966', '159901', '159871', '159903', '159837', '512290', '516080']",0.00586805052820438,0.01061663153326195,10,10,True,False,False,False
2025-09-12,"['520500', '515050', '515980', '159995', '588000', '513330', '159781', '513060', '516080', '562310']","['520500', '515050', '515980', '159995', '588000', '513330', '159781', '513060', '516080', '562310']",0.008954155213949811,0.008954155213949811,10,10,True,False,False,False
2025-09-19,"['515980', '520500', '513330', '159715', '513060', '515050', '159781', '512480', '159995', '515400']","['159715', '512480', '159995', '515980', '520500', '513330', '513060', '515050', '159781', '515400']",0.02469236097679026,0.02469236097679026,10,10,True,False,False,False
2025-09-26,"['515980', '520500', '515050', '515860', '159715', '159871', '515580', '159915', '588030', '516050']","['515980', '520500', '515050', '159915', '159995', '512480', '513310', '159682', '159781', '515700']",0.02269078423327426,-0.002804192806726921,10,10,True,False,False,False
2025-09-30,"['515050', '515980', '520500', '159715', '515860', '513310', '513330', '515400', '159967', '515580']","['515050', '515980', '513310', '513330', '520500', '159715', '512660', '159871', '513050', '159967']",-0.0384506067626076,-0.028392372666145787,10,10,True,False,False,False
