dimension,tag,count,ratio,total_dates
signal_tags,动量,196,1.0,196
signal_tags,波动,99,0.5051020408163265,196
signal_tags,流动性,59,0.3010204081632653,196
signal_tags,趋势,149,0.7602040816326531,196
signal_tags,均线,24,0.12244897959183673,196
signal_tags,成交活跃度,68,0.3469387755102041,196
signal_tags,收益稳定性,35,0.17857142857142858,196
signal_tags,相对强弱,196,1.0,196
signal_tags,风险收益权衡,19,0.09693877551020408,196
risk_tags,高波动,195,0.9948979591836735,196
risk_tags,流动性不足,38,0.19387755102040816,196
risk_tags,短期过热,95,0.4846938775510204,196
risk_tags,趋势不稳,106,0.5408163265306123,196
risk_tags,收益回撤风险,78,0.3979591836734694,196
risk_tags,信号分化不足,2,0.01020408163265306,196
style_tag,动量优先,99,0.5051020408163265,196
style_tag,风险控制优先,0,0.0,196
style_tag,流动性优先,0,0.0,196
style_tag,趋势确认优先,0,0.0,196
style_tag,多因子平衡,97,0.49489795918367346,196
confidence_tag,高,17,0.08673469387755102,196
confidence_tag,中,179,0.9132653061224489,196
confidence_tag,低,0,0.0,196
