code,name,llm_score,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,momentum_20,volatility_20,volume_mean_20,return_mean_20,amplitude_mean_20,turnover_mean_20,MA_5,MA_10,y_pred_Y_next_day_return,y_pred_Y_future_5d_return,y_pred_Y_future_10d_return,y_pred_Y_future_5d_vol_change,y_pred_Y_future_10d_vol_change
515050,5G通信ETF,0.95,2.06,2.149,2.157,2.043,2012903,423862831.0,5.59,5.45,0.111,6.08,0.0518844836025451,0.0318219261909782,2283442.35,0.3005000000000001,4.4135,6.897499999999999,2.0648,2.0142,0.01214676167336,0.0208264426573214,0.0167997731554099,-0.232977842528022,-0.2036155926919307
159967,创业板成长ETF,0.91,0.593,0.615,0.616,0.587,5152303,310817373.761,4.97,5.31,0.031,11.09,0.0301507537688443,0.0266447459648491,4924303.0,0.1815000000000002,3.9115,10.5955,0.5888,0.5728,0.0023704167281723,0.0289431597898316,0.0309404133380768,-0.154219318664804,-0.1025194938941862
512480,半导体ETF,0.87,1.474,1.528,1.534,1.47,17162108,2584714008.0,4.4,5.02,0.073,12.35,0.0715287517531557,0.0309502514166868,13424845.8,0.3919999999999997,4.1375,9.661,1.4712,1.4782,0.0005998307516767,0.0089006834685037,0.0152520211117384,-0.2156009637847159,-0.2165427817796178
159995,芯片ETF,0.83,1.78,1.843,1.852,1.773,7511456,1361864938.09,4.49,4.84,0.085,5.28,0.0628604382929642,0.0300513819940102,7070946.5,0.3475,4.1425,4.968500000000001,1.7726,1.7712,0.0034020157367138,0.0072556965021638,0.0265335904627824,-0.2178331613576752,-0.2294631177175436
159781,科创创业ETF,0.79,0.893,0.928,0.929,0.889,4700432,427839034.652,4.53,5.1,0.045,3.83,0.0581527936145953,0.0270142579368173,4488806.9,0.3179999999999999,3.746,3.6585,0.8872,0.8727,0.0076496884570532,0.0075672933053147,0.0212702155380259,-0.2680519161406514,-0.1108414351118619
515980,人工智能ETF,0.75,0.863,0.9,0.902,0.859,7796536,689304705.0,5.04,5.51,0.047,7.1,0.0392609699769053,0.0288222509140011,4942605.45,0.2314999999999996,3.883,4.5005,0.86,0.8469999999999999,0.0040171150649824,0.0071604421950591,0.019728887865943,-0.3181151712354934,-0.2033365506323585
516050,科技龙头ETF,0.71,1.05,1.078,1.079,1.042,163188,17358166.0,3.58,4.26,0.044,6.76,0.0335570469798658,0.0235490256767732,166654.3,0.1914999999999997,3.5544999999999995,6.908500000000001,1.0418,1.0343,0.0050363923604547,0.0122112844613966,0.0282189653591258,-0.0027263595157902,-0.0073612280308965
159939,信息技术ETF,0.67,0.891,0.919,0.921,0.89,294032,26723260.5,3.51,3.96,0.035,2.4,0.0337457817772779,0.0276606683735743,366142.4,0.2024999999999999,3.5345000000000004,2.9875,0.8897999999999999,0.8889000000000001,0.004402409049068,0.0063413428521238,0.0197007392566367,-0.0681332945100948,-0.0999247327589919
515700,新能车ETF,0.63,2.375,2.408,2.409,2.37,393650,94263305.0,1.65,1.6,0.038,5.14,0.0529077393965893,0.0263043804083898,432279.6,0.2914999999999999,3.754,5.64,2.3634,2.3715,-0.0003819176106686,0.0078408457538801,-0.0037318428062963,0.0391592557333236,-0.0102457285512797
515750,科技50ETF,0.59,1.832,1.874,1.875,1.83,237815,44070561.0,2.47,2.97,0.054,6.26,0.0102425876010783,0.0250340319841447,185359.7,0.0809999999999997,3.154,4.875500000000001,1.8298,1.833,0.0006111514419932,0.0083398387386597,-0.007361338435175,-0.1950821630535623,-0.0331287412210842
588030,科创100指数ETF,0.55,1.308,1.343,1.344,1.308,3290383,438185024.0,2.77,3.23,0.042,6.38,-0.0153958944281525,0.0245017151975427,3183517.75,-0.0479999999999999,3.2555,6.1695,1.3126000000000002,1.324,-0.0002005039061172,0.0043772620866777,-0.0006666438214393,-0.2911873747324096,0.0322162010054241
