rebalance_date,strategy_a_turnover,strategy_a_transaction_cost,strategy_a_slippage,strategy_a_net_return,strategy_b_turnover,strategy_b_transaction_cost,strategy_b_slippage,strategy_b_net_return,benchmark_market_turnover,benchmark_market_transaction_cost,benchmark_market_slippage,benchmark_market_net_return,benchmark_equal_weight_turnover,benchmark_equal_weight_transaction_cost,benchmark_equal_weight_slippage,benchmark_equal_weight_net_return,benchmark_simple_rule_turnover,benchmark_simple_rule_transaction_cost,benchmark_simple_rule_slippage,benchmark_simple_rule_net_return
2025-04-11,1.0,0.001,0.0005,0.0033468963373685504,1.0,0.001,0.0005,0.0033468963373685504,1.0,0.001,0.0005,0.007593414163681301,1.0,0.001,0.0005,0.00249109301333678,1.0,0.001,0.0005,0.0049364495689355106
2025-04-18,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,0.03095710090069064,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,0.03095710090069064,0.0,0.0,0.0,0.0024576734025123,0.0,0.0,0.0,0.012725721531149007,0.39999999999999997,0.00039999999999999996,0.00019999999999999998,-0.0034019109670964903
2025-04-25,0.3,0.0003,0.00015,0.017486042559516895,0.3,0.0003,0.00015,0.017486042559516895,0.0,0.0,0.0,0.0122582402615092,0.0,0.0,0.0,0.016633535837435015,0.3,0.0003,0.00015,-0.0018702130888920787
2025-04-30,0.2,0.0002,0.0001,0.0400488201273567,0.2,0.0002,0.0001,0.0400488201273567,0.0,0.0,0.0,0.0339261285909713,0.0,0.0,0.0,0.025149981532645617,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,0.010878061728922781
2025-05-09,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,0.01357193310362548,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,0.01357193310362548,0.0,0.0,0.0,0.0117836100696304,0.0,0.0,0.0,0.007448802063325332,0.6,0.0006,0.0003,0.007301235909033369
2025-05-16,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,-0.0024064506510767104,0.6,0.0006,0.0003,-0.007802616828947749,0.0,0.0,0.0,-0.0002646903123345,0.0,0.0,0.0,-0.001323022882367793,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,-0.015524794484756443
2025-05-23,0.3,0.0003,0.00015,0.006330761339361299,0.7000000000000001,0.0007000000000000001,0.00035000000000000005,0.005730761339361299,0.0,0.0,0.0,-0.0076780513635159,0.0,0.0,0.0,-0.0005842306544227171,0.2,0.0002,0.0001,-0.009778823483965712
2025-05-30,0.2,0.0002,0.0001,0.015328233359407842,0.2,0.0002,0.0001,0.015328233359407842,0.0,0.0,0.0,0.0096051227321236,0.0,0.0,0.0,0.02261062589677528,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,0.03181222191081282
2025-06-06,0.39999999999999997,0.00039999999999999996,0.00019999999999999998,-0.0002563156373070605,0.39999999999999997,0.00039999999999999996,0.00019999999999999998,-0.0002563156373070605,0.0,0.0,0.0,-0.0015894039735099,0.0,0.0,0.0,0.001161440337237282,0.2,0.0002,0.0001,0.0261489439400189
2025-06-13,0.6,0.0006,0.0003,-0.021027354945524514,0.9000000000000002,0.0009000000000000003,0.00045000000000000015,-0.036338398653406975,0.0,0.0,0.0,-0.0037145131334571,0.0,0.0,0.0,-0.01267010617895308,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,-0.040409438208167454
2025-06-20,0.6,0.0006,0.0003,0.015537280339423523,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,0.015237280339423525,0.0,0.0,0.0,0.0226364846870839,0.0,0.0,0.0,0.02753382669054287,0.6,0.0006,0.0003,0.0207183342143453
2025-06-27,0.6,0.0006,0.0003,0.010357647019805861,0.6,0.0006,0.0003,0.010357647019805861,0.0,0.0,0.0,0.01796875,0.0,0.0,0.0,0.012202132521943774,0.39999999999999997,0.00039999999999999996,0.00019999999999999998,0.014010878719931473
2025-07-04,0.39999999999999997,0.00039999999999999996,0.00019999999999999998,0.017605259979583714,0.6,0.0006,0.0003,0.017451266516881288,0.0,0.0,0.0,0.0120235354310564,0.0,0.0,0.0,0.01604932045020982,0.6,0.0006,0.0003,0.014134812486663218
2025-07-11,0.6,0.0006,0.0003,0.017051515846714358,0.9000000000000002,0.0009000000000000003,0.00045000000000000015,0.01660151584671436,0.0,0.0,0.0,0.013397371081901,0.0,0.0,0.0,0.01866608693867891,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,0.020189749404096218
2025-07-18,0.9000000000000002,0.0009000000000000003,0.00045000000000000015,0.029878821727668797,0.9000000000000002,0.0009000000000000003,0.00045000000000000015,0.029878821727668797,0.0,0.0,0.0,0.0177101521576452,0.0,0.0,0.0,0.022031395001035504,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,0.02086348713756239
2025-07-25,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,-0.01741555171050109,0.8000000000000002,0.0008000000000000001,0.0004000000000000001,-0.01741555171050109,0.0,0.0,0.0,-0.017156862745098,0.0,0.0,0.0,-0.01148122807576328,0.49999999999999994,0.0004999999999999999,0.00024999999999999995,-0.0017241150448910495
