code,name,llm_score,llm_explanation
515790,光伏ETF,0.95,排序分数最高，主要基于其较高的短期预测收益（y_pred_Y_future_5d_return: 0.014298）和相对较低的预测波动率变化（y_pred_Y_future_5d_vol_change: 0.108489）。当日涨幅（1.93%）和换手率（6.09%）显示一定活跃度。风险：20日动量（momentum_20: -0.117593）为负，且预测次日收益为负（-0.0006）。
520500,恒生创新药ETF,0.91,排序分数第二，主要基于其较高的10日预测收益（y_pred_Y_future_10d_return: 0.050417）和正20日动量（0.027745）。换手率极高（19.91%），流动性好。风险：预测波动率变化较大（y_pred_Y_future_5d_vol_change: 0.228478），且预测次日收益为负（-0.000717）。
513310,中韩半导体ETF,0.88,排序分数第三，主要基于其较高的5日预测收益（y_pred_Y_future_5d_return: 0.01614）和极高的换手率（49.34%），显示极高流动性。风险：预测波动率变化极大（y_pred_Y_future_5d_vol_change: 0.308683），且20日动量为负（-0.077269）。
159871,有色金属ETF,0.85,排序分数第四，主要基于其当日最高涨幅（2.27%）和正20日动量（0.02381）。预测波动率变化为负（y_pred_Y_future_5d_vol_change: -0.107111），显示潜在波动降低。风险：成交量相对较低，且中长期预测收益（y_pred_Y_future_5d_return: 0.000221）接近零。
517520,黄金股ETF,0.82,排序分数第五，主要基于其当日最高涨幅（2.46%）和正20日动量（0.04937）。预测波动率变化为负。风险：中长期预测收益（y_pred_Y_future_10d_return: -0.004963）为负，且预测次日收益为负（-0.00067）。
159715,稀土ETF易方达,0.79,排序分数第六，主要基于其当日较高涨幅（2.23%）和较高的振幅（3.3%）。风险：20日动量为负（-0.040167），且5日预测收益为负（-0.000857）。
159531,中证2000ETF,0.76,排序分数第七，主要基于其当日涨幅（1.97%）尚可且20日波动率（volatility_20: 0.01431）相对较低。风险：所有期限的预测收益均为负值，且20日动量接近零（-0.005895）。
159628,国证2000ETF,0.7,排序分数第八，主要基于其当日涨幅（1.96%）尚可。风险：20日动量为负（-0.011407），且5日预测收益为负（-0.000558）。
510760,上证综指ETF,0.67,排序分数第九，主要基于其20日波动率（0.007257）和振幅（1.52%）在横截面中最低，显示历史波动较小。风险：20日动量为负（-0.015601），且预测10日波动率变化极大（0.657188）。
159967,创业板成长ETF,0.64,排序分数第十，主要基于其成交量在横截面中较高，流动性好。风险：所有期限的预测收益均接近零，20日动量接近零（-0.00495），且20日振幅均值（3.241%）较高。
