date,code,name,llm_score,traditional_score,second_stage_llm
2025-11-28,518850,黄金ETF华夏,0.95,0.011922598,deepseek-chat
2025-11-28,512260,中证500低波动ETF,0.94,0.0058947233,deepseek-chat
2025-11-28,159910,基本面120ETE,0.93,0.0011074867,deepseek-chat
2025-11-28,560500,500质量成长ETF,0.92,0.0010867276,deepseek-chat
2025-11-28,517300,沪港深300ETF,0.91,0.0010618131,deepseek-chat
2025-11-28,159916,深F60ETF,0.9,0.0007984204,deepseek-chat
2025-11-28,515450,红利低波50ETF,0.89,0.00066999305,deepseek-chat
2025-11-28,510180,上证180ETF,0.88,-0.00022184147,deepseek-chat
2025-11-28,159781,科创创业ETF,0.87,-0.00044207403,deepseek-chat
2025-11-28,159307,红利低波100ETF,0.86,-0.0010153997,deepseek-chat
