date,code,name,llm_score,traditional_score,second_stage_llm,traditional_model,target,scenario_name,top_n_first,top_n_final,candidate_pool_fingerprint,cache_hit
2026-01-23,512580,环保ETF,0.06909,0.0690902915767805,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,516160,新能源ETF,0.031299,0.0312990790129908,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,512100,中证1000ETF,0.022717,0.0227171204068892,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,510300,沪深300ETF,0.0168,0.0167997742777215,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,510050,上证50ETF,0.013807,0.0138065020678277,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,515790,光伏ETF,0.013007,0.0130074489227545,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,510500,中证500ETF,0.012951,0.0129510701286223,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,159531,中证2000ETF,0.006762,0.0067622036785639,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,159628,国证2000ETF,0.006565,0.0065647573369603,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
2026-01-23,159307,红利低波100ETF,0.005907,0.0059067903099623,gemini-2.5-flash-lite,random_forest,Y_future_5d_return,default,50,10,a1b0c3445f9a1a1a6446b51061fcd9c30391dbadb6575621719b3a45fbdfeef6,False
